Thank You	고맙습니다	gomapseumnida
Don’t mention it	천만에요	cheonmaneyo
Sorry	미안합니다	mianhamnida
That’s OK	괜찮아요	gwaenchanayo
Hello	안녕하세요?	annyeonghaseyo?
Excuse me (to get attention)	저기요	jeogiyo
Excuse me (to apologize)	실례합니다	sillyehamnida
Excuse me (to pass someone)	잠시만요	jamsimanyo
Hello (on phone)	여보세요	yeoboseyo
Good morning	안녕하세요?	annyeonghaseyo?
Good evening	안녕하세요?	annyeonghaseyo?
Sleep well	잘 자요	jal jayo
Sweet dreams	좋은 꿈 꿔요	joeun kkum kkwoyo
Goodbye (to person leaving)	안녕히 가세요	annyeonghi gaseyo
Goodbye (to person staying)	안녕히 계세요	annyeonghi gyeseyo
Get home safely	잘 가요	jal gayo
Have a nice day	좋은 하루 보내세요	joeun haru bonaeseyo
Have a good trip!	여행 잘하세요	yeohaeng jalhaseyo
Welcome	환영합니다	hwanyeonghamnida
Yes	네	ne
No	아니요	aniyo
Maybe	아마도	amado
Just a moment!	잠깐만요!	jamkkanmanyo!
I feel sick	아파요	apayo
I need a doctor	의사가 필요해요	uisaga piryohaeyo
Take me to the hospital (to taxi)	병원에 가주세요	byeongwone gajuseyo
Where is the bathroom?	화장실은 어디에 있어요?	hwajangsireun eodie isseoyo?
Please repeat that	다시 말해 주세요	dasi malhae juseyo
Please speak slowly	천천히 말해 주세요	cheoncheonhi malhae juseyo
Please write it down	적어 주세요	jeogeo juseyo
I understand	이해해요	ihaehaeyo
I don’t understand	이해 못해요	ihae mothaeyo
I don’t know	몰라요	mollayo
I know	알아요	arayo
Can you speak Korean?	한국말을 할 수 있어요?	hangungmareul hal su isseoyo?
I can speak a little Korean	한국말을 조금 할 수 있어요	hangungmareul jogeum hal su isseoyo
I can’t speak Korean	한국말을 못해요	hangungmareul motaeyo
How do you say tiger in Korean?	타이거가 한국말로 뭐예요?	taigeoga hangungmallo mwoyeyo?
How much is this?	이거 얼마예요?	igeo eolmayeyo?
I’ll be right back!	금방 갔다 올거예요!	geumbang gatda olgeoyeyo!
What is this?	이게 뭐예요	ige mwoyeyo
Don’t worry!	걱정 하지 마세요!	geokjeong haji maseyo!
No problem!	문제 없어요	munje eopseoyo
Good	좋아요	joayo
Bad	안 좋아요	an joayo
So-so	그저 그래요	geujeo geuraeyo
Do you have a table for 4 people?	네명 자리 있어요?	nemyeong jari isseoyo?
Please give me a menu	메뉴판 주세요	menyupan juseyo
